locus_tag	ftype	length_bp	gene	EC_number	COG	product
AMADFCGA_00001	CDS	1530	dnaA		COG0593	Chromosomal replication initiator protein DnaA
AMADFCGA_00002	CDS	1104	dnaN		COG0592	Beta sliding clamp
AMADFCGA_00003	CDS	1104	recF_1		COG1195	DNA replication and repair protein RecF
AMADFCGA_00004	CDS	2418	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
AMADFCGA_00005	CDS	606				hypothetical protein
AMADFCGA_00006	CDS	762				hypothetical protein
AMADFCGA_00007	CDS	543	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
AMADFCGA_00008	CDS	2055	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
AMADFCGA_00009	CDS	948	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
AMADFCGA_00010	CDS	552	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
AMADFCGA_00011	CDS	888	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
AMADFCGA_00012	CDS	2364	ydeP_1		COG0243	Protein YdeP
AMADFCGA_00013	CDS	1374	trkA		COG0569	Trk system potassium uptake protein TrkA
AMADFCGA_00014	CDS	1326	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
AMADFCGA_00015	CDS	945	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
AMADFCGA_00016	CDS	507	def_1	3.5.1.88	COG0242	Peptide deformylase
AMADFCGA_00017	CDS	1026				hypothetical protein
AMADFCGA_00018	CDS	1119				hypothetical protein
AMADFCGA_00019	CDS	558	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
AMADFCGA_00020	CDS	978	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
AMADFCGA_00021	CDS	915	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
AMADFCGA_00022	CDS	825	aroE_1	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
AMADFCGA_00023	CDS	1569	dauA		COG0659	C4-dicarboxylic acid transporter DauA
AMADFCGA_00024	CDS	840				hypothetical protein
AMADFCGA_00025	CDS	1596	betC	3.1.6.6	COG3119	Choline-sulfatase
AMADFCGA_00026	CDS	951	perR_1			HTH-type transcriptional regulator PerR
AMADFCGA_00027	CDS	996				hypothetical protein
AMADFCGA_00028	CDS	333				hypothetical protein
AMADFCGA_00029	CDS	825	catD_1	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
AMADFCGA_00030	CDS	531				hypothetical protein
AMADFCGA_00031	CDS	810	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
AMADFCGA_00032	CDS	1230	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
AMADFCGA_00033	CDS	957	trpI			HTH-type transcriptional regulator TrpI
AMADFCGA_00034	CDS	327	yqjD_1		COG4575	putative protein YqjD
AMADFCGA_00035	CDS	216			COG3360	Dodecin
AMADFCGA_00036	CDS	228				hypothetical protein
AMADFCGA_00037	CDS	1002				hypothetical protein
AMADFCGA_00038	CDS	432	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
AMADFCGA_00039	CDS	234				hypothetical protein
AMADFCGA_00040	CDS	432				hypothetical protein
AMADFCGA_00041	CDS	1056				hypothetical protein
AMADFCGA_00042	CDS	546	yrdA_1		COG0663	Protein YrdA
AMADFCGA_00043	CDS	2052	prlC	3.4.24.70	COG0339	Oligopeptidase A
AMADFCGA_00044	CDS	288				hypothetical protein
AMADFCGA_00045	CDS	306				hypothetical protein
AMADFCGA_00046	CDS	228				hypothetical protein
AMADFCGA_00047	CDS	1899				hypothetical protein
AMADFCGA_00048	CDS	696	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
AMADFCGA_00049	CDS	594				hypothetical protein
AMADFCGA_00050	CDS	1956	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
AMADFCGA_00051	CDS	477				hypothetical protein
AMADFCGA_00052	CDS	420				hypothetical protein
AMADFCGA_00053	CDS	678	mip	5.2.1.8	COG0545	Outer membrane protein MIP
AMADFCGA_00054	CDS	501	rsd		COG3160	Regulator of sigma D
AMADFCGA_00055	CDS	528	dsbB_1			Disulfide bond formation protein B
AMADFCGA_00056	CDS	1245	hemY		COG3071	Protein HemY
AMADFCGA_00057	CDS	1176	hemX		COG2959	Protein HemX
AMADFCGA_00058	CDS	774	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
AMADFCGA_00059	CDS	942	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
AMADFCGA_00060	CDS	747	lytR		COG3279	Sensory transduction protein LytR
AMADFCGA_00061	CDS	1083				hypothetical protein
AMADFCGA_00062	CDS	1395	argH	4.3.2.1	COG0165	Argininosuccinate lyase
AMADFCGA_00063	CDS	1242				hypothetical protein
AMADFCGA_00064	CDS	1200				hypothetical protein
AMADFCGA_00065	CDS	1377				hypothetical protein
AMADFCGA_00066	CDS	1653				hypothetical protein
AMADFCGA_00067	CDS	720	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
AMADFCGA_00068	CDS	1977				hypothetical protein
AMADFCGA_00069	CDS	921	gcvA_1			Glycine cleavage system transcriptional activator
AMADFCGA_00070	CDS	1383	mdtK		COG0534	Multidrug resistance protein MdtK
AMADFCGA_00071	CDS	1665				hypothetical protein
AMADFCGA_00072	CDS	2010	rep_1	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
AMADFCGA_00073	CDS	570	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
AMADFCGA_00074	CDS	1320	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
AMADFCGA_00075	tRNA	95				tRNA-Ser(cga)
AMADFCGA_00076	CDS	1254				hypothetical protein
AMADFCGA_00077	CDS	813				hypothetical protein
AMADFCGA_00078	CDS	981	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
AMADFCGA_00079	CDS	873	cysW_1		COG4208	Sulfate transport system permease protein CysW
AMADFCGA_00080	CDS	660	cysT		COG0555	Sulfate transport system permease protein CysT
AMADFCGA_00081	CDS	1020	sbp_1		COG1613	Sulfate-binding protein
AMADFCGA_00082	CDS	180				hypothetical protein
AMADFCGA_00083	CDS	1920				hypothetical protein
AMADFCGA_00084	CDS	1185				hypothetical protein
AMADFCGA_00085	CDS	999				hypothetical protein
AMADFCGA_00086	CDS	1395				hypothetical protein
AMADFCGA_00087	CDS	1281	davT	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
AMADFCGA_00088	CDS	1443	davD_1	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
AMADFCGA_00089	CDS	636	rhtB_2		COG1280	Homoserine/homoserine lactone efflux protein
AMADFCGA_00090	CDS	1017			COG0654	putative protein
AMADFCGA_00091	tRNA	77				tRNA-Arg(ccg)
AMADFCGA_00092	CDS	339				hypothetical protein
