locus_tag	ftype	length_bp	gene	EC_number	COG	product
MGBLIEJO_00001	CDS	2010	rep_1	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
MGBLIEJO_00002	CDS	570	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
MGBLIEJO_00003	CDS	525				hypothetical protein
MGBLIEJO_00004	CDS	1320	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
MGBLIEJO_00005	tRNA	95				tRNA-Leu(caa)
MGBLIEJO_00006	CDS	1254				hypothetical protein
MGBLIEJO_00007	CDS	813				hypothetical protein
MGBLIEJO_00008	CDS	981	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
MGBLIEJO_00009	CDS	873	cysW		COG4208	Sulfate transport system permease protein CysW
MGBLIEJO_00010	CDS	822	cysT_1		COG0555	Sulfate transport system permease protein CysT
MGBLIEJO_00011	CDS	1011	sbp_1		COG1613	Sulfate-binding protein
MGBLIEJO_00012	CDS	180				hypothetical protein
MGBLIEJO_00013	CDS	1920				hypothetical protein
MGBLIEJO_00014	CDS	1185				hypothetical protein
MGBLIEJO_00015	CDS	999				hypothetical protein
MGBLIEJO_00016	CDS	825				hypothetical protein
MGBLIEJO_00017	CDS	1386				hypothetical protein
MGBLIEJO_00018	CDS	1281	davT	2.6.1.48	COG0160	5-aminovalerate aminotransferase DavT
MGBLIEJO_00019	CDS	1443	davD_1	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
MGBLIEJO_00020	CDS	636	rhtB_1		COG1280	Homoserine/homoserine lactone efflux protein
MGBLIEJO_00021	CDS	1056			COG0654	putative protein
MGBLIEJO_00022	tRNA	77				tRNA-Arg(ccg)
MGBLIEJO_00023	CDS	918				hypothetical protein
MGBLIEJO_00024	CDS	138				hypothetical protein
MGBLIEJO_00025	CDS	2154				hypothetical protein
MGBLIEJO_00026	CDS	585				hypothetical protein
MGBLIEJO_00027	CDS	300				hypothetical protein
MGBLIEJO_00028	CDS	999				hypothetical protein
MGBLIEJO_00029	CDS	615				hypothetical protein
MGBLIEJO_00030	CDS	1497				hypothetical protein
MGBLIEJO_00031	CDS	1974				hypothetical protein
MGBLIEJO_00032	CDS	345				hypothetical protein
MGBLIEJO_00033	CDS	1359	csbX		COG0477	Alpha-ketoglutarate permease
MGBLIEJO_00034	CDS	498				hypothetical protein
MGBLIEJO_00035	CDS	696				hypothetical protein
MGBLIEJO_00036	CDS	444				hypothetical protein
MGBLIEJO_00037	CDS	627				hypothetical protein
MGBLIEJO_00038	CDS	921				hypothetical protein
MGBLIEJO_00039	CDS	1155				hypothetical protein
MGBLIEJO_00040	CDS	453				hypothetical protein
MGBLIEJO_00041	CDS	765				hypothetical protein
MGBLIEJO_00042	CDS	495				hypothetical protein
